region,country,code,rank,score,total_population,gdp,social,health,freedom,generosity,corruption,dystopia,rank_old,score_old,gdp_old,social_old,health_old,freedom_old,corruption_old,generosity_old,score_change,gdp_change,social_change,health_change,freedom_change,generosity_change,corruption_change
Sub-Saharan Africa,South Sudan,SDS,156,2.853,,0.306,0.575,0.295,0.01,0.202,0.091,,,,,,,,,,,,,,,,
Sub-Saharan Africa,Central African Republic,CAF,155,3.083,4191429,0.026,0,0.105,0.225,0.235,0.035,2.7223,148,3.678,0.0785,0,0.06699,0.48879,0.08289,0.23835,-0.595,-0.0525,0,0.03801,-0.26379,-0.00335,-0.04789
Southern Asia,Afghanistan,AFG,154,3.203,25067407,0.35,0.517,0.361,0,0.158,0.025,1.9521,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,-0.372,0.03018,0.21415,0.05765,-0.23414,-0.2071,-0.07219
Sub-Saharan Africa,Tanzania,TZA,153,3.231,,0.476,0.885,0.499,0.417,0.276,0.147,1.38079,146,3.781,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,-0.55,0.1908,-0.11768,0.11685,0.08822,-0.06777,0.08953
Sub-Saharan Africa,Rwanda,RWA,152,3.334,9233793,0.359,0.711,0.614,0.555,0.217,0.411,0.67042,154,3.465,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,-0.131,0.13692,-0.0627,0.18536,-0.03701,-0.00928,-0.14091
Middle East and Northern Africa,Yemen,YEM,151,3.38,21095679,0.287,1.163,0.463,0.143,0.108,0.077,1.92313,136,4.077,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,-0.697,-0.25949,0.48207,0.06236,-0.21271,0.01669,-0.00154
Sub-Saharan Africa,Malawi,MWI,150,3.41,13226091,0.191,0.56,0.495,0.443,0.218,0.089,2.80791,131,4.292,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,-0.882,0.17496,0.14866,0.26938,0.01246,-0.11328,0.01923
Middle East and Northern Africa,Syria,SYR,149,3.462,,0.619,0.378,0.44,0.013,0.331,0.141,0.32858,156,3.006,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,0.456,-0.0442,-0.09689,-0.28193,-0.14384,-0.14079,-0.04806
Sub-Saharan Africa,Botswana,BWA,148,3.488,1835938,1.041,1.145,0.538,0.455,0.025,0.1,1.46181,128,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,-0.844,0.04745,0.04036,0.49024,-0.03995,-0.07961,-0.02474
Latin America and Caribbean,Haiti,HTI,147,3.597,9296291,0.323,0.688,0.449,0.026,0.419,0.11,2.24173,119,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,-0.921,0.05627,-0.05502,0.06053,-0.21825,-0.04287,-0.06175
Sub-Saharan Africa,Zimbabwe,ZWE,146,3.663,13119679,0.366,1.114,0.433,0.361,0.151,0.089,2.44191,115,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,-0.947,0.095,0.08124,0.09825,0.10239,-0.03887,0.00821
Sub-Saharan Africa,Burundi,BDI,145,3.775,7858791,0.046,0.447,0.38,0.22,0.176,0.18,1.83302,157,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,0.87,0.0307,0.03113,0.15604,0.1015,-0.02127,0.07938
Sub-Saharan Africa,Lesotho,LSO,144,3.802,1980831,0.489,1.169,0.168,0.359,0.107,0.093,2.79832,97,4.898,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,-1.096,0.11355,0.12797,0.09188,0.04133,-0.05688,-0.03204
Sub-Saharan Africa,Madagascar,MDG,143,3.933,18642586,0.274,0.916,0.555,0.148,0.169,0.041,1.851,147,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,0.252,0.06576,0.24799,0.08779,-0.04384,-0.04433,-0.04024
Sub-Saharan Africa,Comoros,COM,142,3.973,797902,0.274,0.757,0.505,0.142,0.275,0.078,1.95812,140,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,0.017,0.03494,-0.03573,0.14185,-0.08717,0.10059,-0.121
Sub-Saharan Africa,Liberia,LBR,141,3.975,3441796,0.073,0.922,0.443,0.37,0.233,0.033,2.77729,116,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,-0.596,0.0018,0.13232,0.10099,0.08469,-0.01062,-0.02932
Southern Asia,India,IND,140,4.015,1134403141,0.755,0.765,0.588,0.498,0.2,0.085,2.27513,117,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,-0.55,0.11001,0.38326,0.07271,0.10014,-0.06475,8.00E-05
Sub-Saharan Africa,Togo,TGO,139,4.085,6238572,0.275,0.572,0.41,0.293,0.177,0.085,1.56726,158,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,1.246,0.06632,0.43205,0.12557,-0.07153,0.01019,-0.02231
Sub-Saharan Africa,Zambia,ZMB,138,4.107,11478317,0.578,1.058,0.426,0.431,0.247,0.087,2.6343,85,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,-1.022,0.10762,0.14188,0.12676,-0.05727,0.05109,-0.03768
Middle East and Northern Africa,Egypt,EGY,137,4.166,72849793,0.913,1.039,0.644,0.241,0.076,0.067,1.59927,135,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,-0.028,0.0312,0.292,0.02688,0.06812,-0.03691,0.00376
Sub-Saharan Africa,Uganda,UGA,136,4.189,28947181,0.332,1.069,0.443,0.356,0.252,0.06,1.42766,141,3.931,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,0.258,0.12098,-0.06399,0.10439,-0.10127,-0.03866,-0.01267
Sub-Saharan Africa,Swaziland,SWZ,135,4.212,1124529,0.811,1.149,0,0.313,0.074,0.135,2.48676,101,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,-0.655,0.09894,0.07616,-0.07566,0.00642,-0.10859,0.1044
Sub-Saharan Africa,Ethiopia,ETH,134,4.286,78985857,0.336,1.033,0.532,0.344,0.209,0.1,2.44876,122,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,-0.226,0.14527,0.42894,0.09145,-0.0905,-0.03425,-0.05048
Central and Eastern Europe,Ukraine,UKR,133,4.332,46917544,0.82,1.39,0.739,0.178,0.187,0.01,1.5714,111,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,-0.349,0.02093,0.18722,0.0651,-0.07323,0.03425,-0.01961
